Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
17603,Fukutoku-Oka-no-Ba,Uncertain,Uncertain,Unspecified,0.0,1987,9.0,4.0,1991.0,2.0,6.0
18516,Pagan,Confirmed,Observations,Reported,1.0,1987,9.0,4.0,1987.0,9.0,4.0
19788,Amukta,Confirmed,Observations,Reported,1.0,1987,9.0,4.0,,,
19687,Gareloi,Confirmed,Observations,Reported,1.0,1987,9.0,4.0,,,
14655,Ruapehu,Confirmed,Observations,Reported,1.0,1987,8.0,24.0,1987.0,8.0,30.0
18384,Kita-Ioto,Uncertain,Uncertain,Unspecified,0.0,1987,8.0,16.0,1987.0,8.0,16.0
11748,Sabancaya,Uncertain,Uncertain,Unspecified,2.0,1987,8.0,7.0,,,
17602,Fukutoku-Oka-no-Ba,Confirmed,Observations,Reported,0.0,1987,7.0,14.0,1987.0,8.0,30.0
10471,Colima,Confirmed,Observations,Reported,1.0,1987,7.0,2.0,1987.0,7.0,2.0
19811,Cleveland,Confirmed,Observations,Reported,3.0,1987,6.0,19.0,1987.0,8.0,28.0
11183,Poas,Confirmed,Observations,Reported,2.0,1987,6.0,16.0,1990.0,6.0,16.0
22470,"Fournaise, Piton de la",Confirmed,Observations,Reported,0.0,1987,6.0,10.0,1987.0,7.0,20.0
10323,Macdonald,Confirmed,Observations,Reported,0.0,1987,6.0,4.0,1989.0,1.0,28.0
18545,Esmeralda Bank,Uncertain,Uncertain,Unspecified,0.0,1987,5.0,26.0,,,
16148,Raung,Confirmed,Observations,Reported,1.0,1987,5.0,16.0,1989.0,7.0,28.0
17548,Niigata-Yakeyama,Confirmed,Observations,Reported,1.0,1987,4.0,25.0,,,
19673,Semisopochnoi,Confirmed,Observations,Reported,2.0,1987,4.0,13.0,,,
16594,Gamkonora,Confirmed,Observations,Reported,1.0,1987,4.0,13.0,1987.0,4.0,26.0
11103,Rincon de la Vieja,Confirmed,Observations,Reported,1.0,1987,4.0,1.0,1987.0,4.0,1.0
16739,Kanlaon,Confirmed,Observations,Reported,1.0,1987,3.0,30.0,1987.0,7.0,2.0
14701,Raoul Island,Uncertain,Uncertain,Unspecified,0.0,1987,3.0,25.0,1987.0,3.0,25.0
20169,Veniaminof,Confirmed,Observations,Reported,1.0,1987,3.0,19.0,1987.0,3.0,19.0
20155,Kupreanof,Uncertain,Observations,Reported,1.0,1987,3.0,10.0,1987.0,3.0,10.0
19762,Atka Volcanic Complex,Confirmed,Observations,Reported,2.0,1987,3.0,4.0,1987.0,3.0,19.0
19990,Makushin,Confirmed,Observations,Reported,1.0,1987,3.0,2.0,1987.0,3.0,2.0
11030,Masaya,Confirmed,Observations,Reported,1.0,1987,2.0,15.0,1987.0,2.0,22.0
20031,Akutan,Confirmed,Observations,Reported,2.0,1987,1.0,31.0,1987.0,6.0,24.0
15475,Marapi,Confirmed,Observations,Reported,2.0,1987,1.0,15.0,1994.0,8.0,12.0
10731,Fuego,Confirmed,Observations,Reported,1.0,1987,1.0,5.0,1987.0,2.0,16.0
11102,Rincon de la Vieja,Confirmed,Observations,Reported,1.0,1986,12.0,31.0,1986.0,12.0,31.0
11747,Sabancaya,Confirmed,Observations,Reported,1.0,1986,12.0,16.0,,,
19364,Bezymianny,Confirmed,Observations,Reported,3.0,1986,12.0,5.0,1988.0,7.0,26.0
12887,Bardarbunga,Uncertain,Uncertain,Unspecified,0.0,1986,11.0,29.0,1986.0,12.0,1.0
19468,Klyuchevskoy,Confirmed,Observations,Reported,4.0,1986,11.0,27.0,1990.0,9.0,16.0
19850,Okmok,Confirmed,Observations,Reported,2.0,1986,11.0,18.0,1988.0,2.0,26.0
18854,Chikurachki,Confirmed,Observations,Reported,4.0,1986,11.0,18.0,1986.0,12.0,7.0
18242,Izu-Oshima,Confirmed,Observations,Reported,3.0,1986,11.0,15.0,1986.0,12.0,18.0
15286,Ambrym,Confirmed,Observations,Reported,2.0,1986,11.0,13.0,1986.0,11.0,19.0
22469,"Fournaise, Piton de la",Confirmed,Observations,Reported,1.0,1986,11.0,12.0,1987.0,2.0,10.0
18329,Myojinsho,Uncertain,Uncertain,Unspecified,0.0,1986,10.0,24.0,1986.0,10.0,24.0
18829,Chirinkotan,Confirmed,Observations,Reported,1.0,1986,10.0,11.0,1986.0,10.0,12.0
15917,Merapi,Confirmed,Observations,Reported,2.0,1986,10.0,10.0,1990.0,8.0,16.0
20731,Kama'ehuakanaloa,Uncertain,Uncertain,Unspecified,0.0,1986,9.0,20.0,1986.0,9.0,20.0
11864,Lascar,Confirmed,Observations,Reported,3.0,1986,9.0,14.0,1986.0,9.0,16.0
18817,Sarychev Peak,Confirmed,Observations,Reported,1.0,1986,9.0,1.0,,,
20719,Cleft Segment,Confirmed,Observations,Reported,0.0,1986,8.0,16.0,,,
15788,Dieng Volcanic Complex,Confirmed,Observations,Reported,1.0,1986,8.0,6.0,1986.0,8.0,6.0
15493,Talang,Uncertain,Uncertain,Unspecified,1.0,1986,7.0,16.0,1986.0,10.0,13.0
